"REF_DATE","GEO","DGUID","Family characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","29500","","","","0"
"2005","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","30000","","","","0"
"2006","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","33000","","","","0"
"2007","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","34540","","","","0"
"2008","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","35990","","","","0"
"2009","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","36100","","","","0"
"2010","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","37050","","","","0"
"2011","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","37900","","","","0"
"2012","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","39350","","","","0"
"2013","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","40380","","","","0"
"2014","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","41780","","","","0"
"2015","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","43630","","","","0"
"2016","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","45220","","","","0"
"2017","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","46140","","","","0"
"2018","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","48750","","","","0"
"2019","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","50800","","","","0"
"2020","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","57060","","","","0"
"2021","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","56750","","","","0"
"2022","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","58850","","","","0"
"2023","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","61960","","","","0"
"2000","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","62500","","","","0"
"2001","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","64200","","","","0"
"2002","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","66000","","","","0"
"2003","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","67500","","","","0"
"2004","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","69700","","","","0"
"2005","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","72000","","","","0"
"2006","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","74900","","","","0"
"2007","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","77570","","","","0"
"2008","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","80330","","","","0"
"2009","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","79920","","","","0"
"2010","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","81960","","","","0"
"2011","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","84710","","","","0"
"2012","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","87230","","","","0"
"2013","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","89370","","","","0"
"2014","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","91530","","","","0"
"2015","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","92790","","","","0"
"2016","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","93770","","","","0"
"2017","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","96460","","","","0"
"2018","Canada","2021A11124","Median employment income of dual-earner couple families","Dollars","81","units","0","v21187334","1.26","99550","","","","0"
